Date;ES2YPrice;ES2YYield;ES2YSS;ES2YASS;ES2YZS;ES2YOaS;ES5YPrice;ES5YYield;ES5YSS;ES5YASS;ES5YZS;ES5YOaS;ES10YPrice;ES10YYield;ES10YSS;ES10YASS;ES10YZS;ES10YOaS;DE2YPrice;DE2YYield;DE2YSS;DE2YASS;DE2YZS;DE5YPrice;DE5YYield;DE5YSS;DE5YASS;DE5YZS;DE10YPrice;DE10YYield;DE10YSS;DE10YASS;DE10YZS;CH2YPrice;CH2YYield;CH2YSS;CH2YASS;CH2YZS;CH2YOaS;CH5YPrice;CH5YYield;CH5YSS;CH5YASS;CH5YZS;CH5YOaS;CH10YPrice;CH10YYield;CH10YSS;CH10YASS;CH10YZS;CH10YOaS;EURCHF
19-Jul-2002;101.300;3.834;;;;;101.710;4.358;;;;;102.685;4.988;;;;;100.370;3.794;;;;98.580;4.333;;;;101.240;4.840;;;;108.260;1.564;;;;;109.35;2.539;;;;;97.45;3.052;;;;;1.459
26-Jul-2002;101.620;3.644;;;;;102.340;4.191;;;;;103.391;4.887;;;;;100.720;3.598;;;;99.240;4.171;;;;102.120;4.721;;;;108.600;1.318;;;;;110;2.408;;;;;98.25;2.958;;;;;1.446
02-Aug-2002;101.980;3.467;;;;;102.950;4.024;;;;;104.250;4.770;;;;;101.050;3.411;;;;99.950;3.998;;;;102.880;4.613;;;;108.730;1.199;;;;;109.98;2.42;;;;;97.96;2.993;;;;;1.450
09-Aug-2002;101.900;3.489;;;;;102.970;4.023;;;;;104.710;4.709;;;;;101.000;3.447;;;;99.920;4.005;;;;103.410;4.562;;;;108.470;1.290;;;;;109.72;2.456;;;;;97.82;3.014;;;;;1.458
16-Aug-2002;101.620;3.628;;;;;102.720;4.106;;;;;104.920;4.719;;;;;100.780;3.607;;;;101.530;4.135;;;;103.360;4.556;;;;108.900;1.220;;;;;109.7;2.459;;;;;98.03;2.988;;;;;1.466
23-Aug-2002;101.670;3.582;;;;;102.600;4.114;;;;;104.100;4.788;;;;;100.700;3.591;;;;101.350;4.174;;;;102.690;4.653;;;;108.150;1.362;;;;;108.9;2.613;;;;;96.9;3.122;;;;;1.472
30-Aug-2002;101.890;3.463;;;;;103.100;3.978;;;;;104.790;4.704;;;;;100.920;3.459;;;;101.980;4.032;;;;103.390;4.555;;;;108.470;1.135;;;;;109.71;2.451;;;;;97.87;3.01;;;;;1.472
06-Sep-2002;102.350;3.217;;;;;104.020;3.764;;;;;106.170;4.558;;;;;101.310;3.227;;;;102.910;3.823;;;;104.600;4.420;;;;108.600;0.990;;;;;110.34;2.283;;;;;99.66;2.791;;;;;1.457
13-Sep-2002;102.220;3.267;;;;;103.830;3.791;;;;;105.830;4.573;;;;;101.214;3.275;;;;102.810;3.843;;;;104.530;4.428;;;;108.350;1.072;;;;;110.77;2.183;;;;;100.17;2.729;;;;;1.467
20-Sep-2002;102.380;3.179;;;;;104.190;3.686;;;;;103.650;4.535;;;;;101.330;3.198;;;;103.233;3.747;;;;105.020;4.360;;;;108.400;0.978;;;;;111.33;2.07;;;;;101.01;2.631;;;;;1.464
27-Sep-2002;102.350;3.171;;;;;104.320;3.661;;;;;103.800;4.531;;;;;100.150;3.170;;;;103.470;3.692;;;;105.140;4.327;;;;108.200;1.037;;;;;111.07;2.116;;;;;100.76;2.658;;;;;1.465
04-Oct-2002;102.540;3.058;;;;;104.580;3.591;;;;;103.770;4.541;;;;;100.440;3.014;;;;103.760;3.625;;;;104.970;4.346;;;;108.250;0.940;;;;;111.26;2.075;;;;;101.02;2.628;;;;;1.461
11-Oct-2002;102.310;3.143;;;;;104.370;3.673;;;;;103.530;4.576;;;;;100.100;3.195;;;;102.891;3.816;;;;104.300;4.475;;;;108.150;0.937;;;;;110.97;2.133;;;;;100.27;2.713;;;;;1.464
18-Oct-2002;102.190;3.250;;;;;103.630;3.854;;;;;102.090;4.756;;;;;99.960;3.270;;;;102.300;3.948;;;;103.050;4.597;;;;108.000;0.965;;;;;110.75;2.167;;;;;99.51;2.791;;;;;1.470
25-Oct-2002;102.190;3.213;;;;;103.650;3.808;;;;;102.170;4.722;;;;;100.085;3.201;;;;102.370;3.930;;;;103.110;4.584;;;;108.000;0.896;;;;;110.98;2.123;;;;;99.95;2.755;;;;;1.466
